[0, 'aan', 1]
[1, 'aaron', 2]
[2, 'aback', 1]
[3, 'abahd', 1]
[4, 'abandon', 39]
[5, 'abat', 1]
[6, 'abc', 49]
[7, 'abcnew', 3]
[8, 'abdallah', 2]
[9, 'abdel', 3]
[10, 'abdomin', 2]
[11, 'abduct', 2]
[12, 'abdul', 16]
[13, 'abdullah', 40]
[14, 'abdurahman', 1]
[15, 'aberr', 1]
[16, 'abhad', 1]
[17, 'abhiyan', 1]
[18, 'abhorr', 2]
[19, 'abid', 8]
[20, 'abidin', 4]
[21, 'abidjan', 36]
[22, 'abijan', 1]
[23, 'abil', 32]
[24, 'abl', 105]
[25, 'ablaz', 3]
[26, 'abnorm', 1]
[27, 'aboard', 93]
[28, 'abobo', 3]
[29, 'abolish', 4]
[30, 'abomin', 1]
[31, 'abort', 7]
[32, 'abound', 4]
[33, 'abovo', 1]
[34, 'abraham', 10]
[35, 'abreast', 1]
[36, 'abrego', 1]
[37, 'abroad', 52]
[38, 'abrog', 2]
[39, 'abrupt', 1]
[40, 'abruptli', 4]
[41, 'abscam', 1]
[42, 'absenc', 6]
[43, 'absent', 4]
[44, 'absente', 7]
[45, 'absentia', 3]
[46, 'absolut', 43]
[47, 'absorb', 10]
[48, 'abstain', 1]
[49, 'abstent', 1]
[50, 'absurd', 2]
[51, 'abu', 7]
[52, 'abund', 2]
[53, 'abus', 29]
[54, 'abuzaakouk', 1]
[55, 'abyan', 5]
[56, 'abyssinian', 1]
[57, 'academ', 6]
[58, 'academi', 4]
[59, 'academia', 1]
[60, 'acced', 1]
[61, 'acceler', 4]
[62, 'accent', 2]
[63, 'accentu', 2]
[64, 'accept', 124]
[65, 'access', 41]
[66, 'accid', 32]
[67, 'accident', 3]
[68, 'accommod', 11]
[69, 'accompani', 33]
[70, 'accomplic', 5]
[71, 'accomplish', 10]
[72, 'accord', 145]
[73, 'accordingli', 1]
[74, 'accordion', 1]
[75, 'account', 125]
[76, 'accredit', 1]
[77, 'accumul', 2]
[78, 'accur', 14]
[79, 'accuraci', 1]
[80, 'accus', 131]
[81, 'accustom', 2]
[82, 'ace', 27]
[83, 'acerb', 2]
[84, 'achiev', 32]
[85, 'acid', 2]
[86, 'acknowledg', 55]
[87, 'acolyt', 1]
[88, 'acosta', 1]
[89, 'acquaint', 1]
[90, 'acquiesc', 1]
[91, 'acquir', 5]
[92, 'acquisit', 1]
[93, 'acquit', 5]
[94, 'acquitt', 3]
[95, 'acr', 1]
[96, 'acrimoni', 2]
[97, 'acrobat', 5]
